,date,cases_0_9,cases_10_19
0,2021-12-05,51,64
1,2021-12-06,42,56
2,2021-12-07,36,42
3,2021-12-09,51,83
4,2021-12-10,68,54
5,2021-12-11,77,70
6,2021-12-12,53,74
7,2021-12-13,59,74
8,2021-12-14,65,75
9,2021-12-15,67,120
10,2021-12-17,91,244
11,2021-12-18,105,190
12,2021-12-19,103,337
13,2021-12-20,115,326
14,2021-12-21,144,329
15,2021-12-22,164,525
16,2021-12-23,206,587
17,2021-12-24,241,720
18,2021-12-25,232,621
19,2021-12-26,205,698
20,2021-12-27,223,616
21,2021-12-28,210,600
22,2021-12-29,244,631
23,2021-12-30,530,1194
24,2021-12-31,971,1869
25,2022-01-01,957,1881
26,2022-01-02,978,1708
27,2022-01-03,1031,1802
28,2022-01-04,1212,1854
29,2022-01-05,1607,3149
30,2022-01-06,1881,3911
31,2022-01-07,1687,3779
32,2022-01-08,1948,4278
33,2022-01-09,1817,3195
34,2022-01-10,1143,1837
35,2022-01-11,1785,2738
36,2022-01-12,2107,3025
37,2022-01-13,2402,3001
38,2022-01-14,1815,2428
39,2022-01-15,2499,3031
40,2022-01-16,1972,2236
41,2022-01-17,1758,1878
42,2022-01-18,1593,1723
43,2022-01-19,1938,2083
44,2022-01-20,1808,1823
45,2022-01-21,2110,2356
46,2022-01-24,993,888
47,2022-01-25,1232,990
48,2022-01-26,1238,1183
49,2022-01-27,1021,894
50,2022-01-28,511,467
51,2022-01-29,747,691
52,2022-01-30,765,740
53,2022-01-31,507,562
54,2022-02-01,540,454
55,2022-02-02,481,491
56,2022-02-03,513,444
57,2022-02-04,370,373
58,2022-02-05,219,176
59,2022-02-06,207,199
60,2022-02-07,327,272
61,2022-02-08,326,274
62,2022-02-09,566,482
63,2022-02-10,502,464
64,2022-02-11,346,331
65,2022-02-12,351,336
66,2022-02-13,191,202
67,2022-02-14,147,150
68,2022-02-15,138,137
69,2022-02-16,275,267
70,2022-02-17,2038,2263
71,2022-02-18,1644,1872
72,2022-02-19,1138,1161
73,2022-02-21,1085,1145
74,2022-02-22,2018,2274
75,2022-02-23,1892,2226
76,2022-02-24,1551,1873
77,2022-02-25,1230,1639
78,2022-02-26,1169,1599
79,2022-02-27,1091,1385
80,2022-03-01,1881,2706
81,2022-03-02,1926,2904
82,2022-03-03,1694,2773
83,2022-03-04,1302,2215
84,2022-03-05,1523,2621
85,2022-03-06,1401,2311
86,2022-03-07,2332,4212
87,2022-03-09,2100,3773
88,2022-03-10,2222,3980
89,2022-03-11,1701,3162
90,2022-03-12,1662,3150
91,2022-03-13,1935,3368
92,2022-03-14,1340,2272
93,2022-03-15,1704,2854
94,2022-03-16,4820,8567
95,2022-03-17,2615,4442
96,2022-03-18,2436,4063
97,2022-03-19,2441,4160
98,2022-03-20,2219,3692
99,2022-03-21,2102,3479
100,2022-03-22,3061,5418
101,2022-03-23,3336,5610
102,2022-03-24,3003,4857
103,2022-03-25,2752,4207
104,2022-03-26,2564,3645
105,2022-03-27,2286,3278
106,2022-03-29,3003,4882
107,2022-03-30,3113,4961
108,2022-03-31,2441,3670
109,2022-04-01,2842,3806
110,2022-04-02,2215,3280
111,2022-04-03,1993,2626
112,2022-04-04,1903,2575
113,2022-04-05,2525,3591
114,2022-04-06,2923,4114
115,2022-04-07,2405,3185
116,2022-04-08,2016,2699
117,2022-04-09,1889,2336
118,2022-04-10,1629,2011
119,2022-04-11,1442,1774
120,2022-04-12,1637,2012
121,2022-04-13,1780,2236
122,2022-04-14,1664,1978
123,2022-04-15,1422,1607
124,2022-04-16,1297,1361
125,2022-04-17,1015,992
126,2022-04-18,1135,1060
127,2022-04-19,995,981
128,2022-04-20,1360,1409
129,2022-04-21,1467,1472
130,2022-04-23,973,1061